Title,Title2,starrating,View,Keywords,Salary,Location,Keywords5,Skill1,Skill2,Skill3,Skill4,Skill5,Skll6,Skill7,Skill8,Type,Type13,Role,Industry_Type_1,Industry_Type_2,Functional_Area,Employment_Type,Role_Category
Data Science/analysis Expert - Machine Learning,Catalyst,,,2-6 Yrs,Not disclosed,Bengaluru,"IT Skills
Python
Data Science
Machine Learning
Tableau
analytics
deep learning
algorithms",IT Skills,Python,Data Science,Machine Learning,Tableau,analytics,deep learning,algorithms,PREMIUM,14 DAYS AGO,Data Analyst,IT-Software, Software Services,Analytics & Business Intelligence,"Full Time, Permanent",Analytics & BI
Internship ON Python DATA Science AND Machine Learning,Wozti Infotech ,,,0-1 Yrs,Not disclosed,"Thrissur, Kozhikode, Kochi","IT Skills
Data Science
Data sc
Python",IT Skills,Data Science,Data sc,Python,,,,,HOT JOB,2 DAYS AGO,IT/Technical Content Developer,IT-Software, Software Services,IT Software - Application Programming,"Full Time, Permanent",Other
Data Science & Machine Learning Engineer,Pactera Technologies India Private Limited,,,2-5 Yrs,"10,00,000 - 20,00,000 PA.",Hyderabad,"Decision Trees
Machine Learning
Python
IT Skills
Python
Testing
Machine Learning
Cloud",Decision Trees,Machine Learning,Python,IT Skills,Python,Testing,Machine Learning,Cloud,PREMIUM,12 DAYS AGO,Software Developer,IT-Software, Software Services,IT Software - Application Programming,"Full Time, Permanent",Programming & Design
Data Science Engineer - ETL/Python/R,DATA LABS,,,0-1 Yrs,Not disclosed,Pune,"IT Skills
Python
Testing
Tableau
Data Science
Application Designing
Business Intelligence
R",IT Skills,Python,Testing,Tableau,Data Science,Application Designing,Business Intelligence,R,PREMIUM,7 DAYS AGO,Database Architect/Designer,IT-Software, Software Services,IT Software - DBA,"Full Time, Permanent",Programming & Design
Data Science - Intern,zeotap,4.7,(3 Reviews),0-1 Yrs,Not disclosed,Bengaluru,"Computer science
Health insurance
ISO 27001
Machine learning
Manager Technology
Programming
data privacy
Data mining",Computer science,Health insurance,ISO 27001,Machine learning,Manager Technology,Programming,data privacy,Data mining,,,Software Developer,Media, Entertainment,IT Software - Application Programming,"Full Time, Permanent",Programming & Design
Inviting Applications For Python/R + Data Science - Manager - Noida,GENPACT India Private Limited,4,(8477 Reviews),6-8 Yrs,Not disclosed,Noida,"Predictive Modeling
ARIMA/ARIMAX
Forecasting
R
Arima
Data Analysis
Statistical Modeling
SQL Queries",Predictive Modeling,ARIMA/ARIMAX,Forecasting,R,Arima,Data Analysis,Statistical Modeling,SQL Queries,PREMIUM,11 DAYS AGO,Other,KPO, Research,Analytics & Business Intelligence,"Full Time, Permanent",Other
Data Science Engineer - Statistical Modeling/ Machine Learning,Lera Technologies Pvt. Ltd,3.4,(5 Reviews),7-12 Yrs,Not disclosed,India,"IT Skills
Python
Machine Learning
Artificial Intelligence
Data Science
Predictive Modeling
Data Scientist
Artificial Intelligence",IT Skills,Python,Machine Learning,Artificial Intelligence,Data Science,Predictive Modeling,Data Scientist,Artificial Intelligence,PREMIUM,4 DAYS AGO,Data Analyst,IT-Software, Software Services,Analytics & Business Intelligence,"Full Time, Permanent",Analytics & BI
Data Science/ Analysis Expert - Machine Learning,Catalyst,,,2-6 Yrs,Not disclosed,Bengaluru,"Regression Algorithms
NLP
Data Scientist
Artificial Intelligence
Data Modeling
Data Warehousing
Data Analytics
ETL",Regression Algorithms,NLP,Data Scientist,Artificial Intelligence,Data Modeling,Data Warehousing,Data Analytics,ETL,PREMIUM,14 DAYS AGO,Data Analyst,Banking, Financial Services,Analytics & Business Intelligence,"Full Time, Permanent",Analytics & BI
Data Science/ Scientist - Python/ Deep Learning,ICR INDIA CERTIFICATIONS PRIVATE LIMITED ,,,0-3 Yrs,"3,00,000 - 5,00,000 PA.","Chennai, Bengaluru, Hyderabad","python
c++
java",python,c++,java,,,,,,,,Project Manager-IT/Software,IT-Software, Software Services,IT Software - Application Programming,"Full Time, Permanent",Project Management
Analyst - Data Science,Merkle Inc.,,,1-6 Yrs,Not disclosed,Pune,"IT Skills
Python
Data Science
Tableau
Power BI
Data validation
SAS
Technology solutions",IT Skills,Python,Data Science,Tableau,Power BI,Data validation,SAS,Technology solutions,,9 DAYS AGO,Software Developer,IT-Software, Software Services,IT Software - Application Programming,"Full Time, Permanent",Programming & Design
